,ProbeID,GeneName,Approved symbol,GeneSymbol,Description,RefSeq,EntrezID
5857,A_33_P3421490,KIAA1024,MINAR1,KIAA1024,"Homo sapiens KIAA1024 (KIAA1024), mRNA [NM_015206]",NM_015206,23251.0
5862,A_33_P3363720,chromosome 1 open reading frame 213,ZNF436-AS1,C1orf213,"Homo sapiens chromosome 1 open reading frame 213 (C1orf213), transcript variant 2, long non-coding RNA [NR_033691]",NR_033691,148898.0
5873,A_23_P106973,septin 9,SEPTIN9,2015-09-09 00:00:00,"Homo sapiens septin 9 (SEPT9), transcript variant 3, mRNA [NM_006640]",NM_006640,10801.0
7745,A_33_P3368188,septin 9,SEPTIN9,2015-09-09 00:00:00,"Homo sapiens septin 9 (SEPT9), transcript variant 3, mRNA [NM_006640]",NM_006640,10801.0
5913,A_23_P164253,pancreatic polypeptide 2,PPY2P,PPY2,"Homo sapiens pancreatic polypeptide 2 (PPY2), non-coding RNA [NR_002181]",NR_002181,23614.0
5952,A_24_P832426,"beta 1,3-galactosyltransferase-like",B3GLCT,B3GALTL,"Homo sapiens beta 1,3-galactosyltransferase-like (B3GALTL), mRNA [NM_194318]",NM_194318,145173.0
5955,A_33_P3397348,uncharacterized LOC149134,LINC01341,LOC149134,"Homo sapiens uncharacterized LOC149134 (LOC149134), long non-coding RNA [NR_015422]",NR_015422,149134.0
5979,A_33_P3358957,iron/zinc purple acid phosphatase-like protein,ACP7,PAPL,"Homo sapiens iron/zinc purple acid phosphatase-like protein (PAPL), mRNA [NM_001004318]",NM_001004318,390928.0
5998,A_33_P3390708,transmembrane protein 2,CEMIP2,TMEM2,"Homo sapiens transmembrane protein 2 (TMEM2), transcript variant 1, mRNA [NM_013390]",NM_013390,23670.0
7239,A_23_P94552,transmembrane protein 2,CEMIP2,TMEM2,"Homo sapiens transmembrane protein 2 (TMEM2), transcript variant 1, mRNA [NM_013390]",NM_013390,23670.0
6009,A_32_P56624,"family with sequence similarity 92, member B",CIBAR2,FAM92B,"Homo sapiens family with sequence similarity 92, member B (FAM92B), mRNA [NM_198491]",NM_198491,339145.0
6010,A_33_P3288594,cyclin Y-like pseudogene,CCNYL4,LOC100129055,"Homo sapiens cyclin Y-like pseudogene (LOC100129055), non-coding RNA [NR_024524]",NR_024524,100129055.0
6015,A_24_P252846,chromosome 11 open reading frame 74,IFTAP,C11orf74,"Homo sapiens chromosome 11 open reading frame 74 (C11orf74), transcript variant 4, mRNA [NM_138787]",NM_138787,119710.0
6029,A_23_P118406,chromosome 17 open reading frame 62,CYBC1,C17orf62,"Homo sapiens chromosome 17 open reading frame 62 (C17orf62), transcript variant 2, mRNA [NM_001033046]",NM_001033046,79415.0
6041,A_23_P11774,"UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast)",UTP11,UTP11L,"Homo sapiens UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast) (UTP11L), mRNA [NM_016037]",NM_016037,51118.0
25964,A_32_P77977,"UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast)",UTP11,UTP11L,"Homo sapiens UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast) (UTP11L), mRNA [NM_016037]",NM_016037,51118.0
6171,A_33_P3227774,golgin A2 pseudogene,GOLGA2P10,LOC727751,"Homo sapiens golgin A2 pseudogene (LOC727751), transcript variant 1, non-coding RNA [NR_102747]",NR_026811,727751.0
19045,A_33_P3407618,golgin A2 pseudogene,GOLGA2P10,LOC727751,"Homo sapiens golgin A2 pseudogene (LOC727751), transcript variant 1, non-coding RNA [NR_102747]",NR_026811,727751.0
33530,A_23_P129103,golgin A2 pseudogene,GOLGA2P10,LOC388152,"Homo sapiens golgin A2 pseudogene (LOC388152), non-coding RNA [NR_027001]",NR_026811,
6182,A_23_P61371,transmembrane protein 173,STING1,TMEM173,"Homo sapiens transmembrane protein 173 (TMEM173), mRNA [NM_198282]",NM_198282,340061.0
6216,A_23_P96369,chromosome X open reading frame 57,RADX,CXorf57,"Homo sapiens chromosome X open reading frame 57 (CXorf57), transcript variant 1, mRNA [NM_018015]",NM_018015,55086.0
6252,A_33_P3297946,"actin, alpha 2, smooth muscle, aorta pseudogene",ACTG1P17,LOC283693,"Homo sapiens actin, alpha 2, smooth muscle, aorta pseudogene (LOC283693), non-coding RNA [NR_036446]",NR_036446,283693.0
6272,A_33_P3284557,sterile alpha motif and leucine zipper containing kinase AZK,MAP3K20,ZAK,"Homo sapiens sterile alpha motif and leucine zipper containing kinase AZK (ZAK), transcript variant 1, mRNA [NM_016653]",NM_016653,51776.0
14121,A_23_P366394,sterile alpha motif and leucine zipper containing kinase AZK,MAP3K20,ZAK,"Homo sapiens sterile alpha motif and leucine zipper containing kinase AZK (ZAK), transcript variant 1, mRNA [NM_016653]",NM_016653,51776.0
6298,A_24_P307724,FLJ33360 protein,LINC02145,FLJ33360,"Homo sapiens FLJ33360 protein (FLJ33360), long non-coding RNA [NR_028351]",NR_028351,401172.0
6309,A_33_P3229335,"histone cluster 3, H2bb",H2BU1,HIST3H2BB,"Homo sapiens histone cluster 3, H2bb (HIST3H2BB), mRNA [NM_175055]",NM_175055,128312.0
6316,A_32_P94001,"family with sequence similarity 92, member A3",CIBAR1P2,FAM92A1P2,"Homo sapiens family with sequence similarity 92, member A1 pseudogene 2 (FAM92A1P2), non-coding RNA [NR_003612]",NR_003612,403315.0
6320,A_23_P26557,chromosome 16 open reading frame 59,TEDC2,C16orf59,"Homo sapiens chromosome 16 open reading frame 59 (C16orf59), mRNA [NM_025108]",NM_025108,80178.0
6330,A_23_P322632,long intergenic non-protein coding RNA 277,EWSAT1,LINC00277,"Homo sapiens long intergenic non-protein coding RNA 277 (LINC00277), long non-coding RNA [NR_026949]",NR_026949,283673.0
30696,A_33_P3214229,long intergenic non-protein coding RNA 277,EWSAT1,LINC00277,"Homo sapiens long intergenic non-protein coding RNA 277 (LINC00277), long non-coding RNA [NR_026949]",NR_026949,283673.0
6341,A_24_P297551,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A2",TAFA2,FAM19A2,"Homo sapiens family with sequence similarity 19 (chemokine (C-C motif)-like), member A2 (FAM19A2), mRNA [NM_178539]",NM_178539,338811.0
6382,A_23_P210619,replication termination factor 2 domain containing 1,RTF2,RTFDC1,"Homo sapiens replication termination factor 2 domain containing 1 (RTFDC1), transcript variant 2, mRNA [NM_016407]",NM_016407,51507.0
6466,A_32_P84369,"family with sequence similarity 153, member C, pseudogene",FAM153B,FAM153C,"Homo sapiens family with sequence similarity 153, member C (FAM153C), non-coding RNA [NR_038353]",NM_001079529,653316.0
6483,A_23_P394567,KIAA1467,FAM234B,KIAA1467,"Homo sapiens KIAA1467 (KIAA1467), mRNA [NM_020853]",NM_020853,57613.0
6487,A_33_P3426943,uncharacterized LOC151484,GCSIR,LOC151484,"Homo sapiens uncharacterized LOC151484 (LOC151484), long non-coding RNA [NR_038238]",NR_038238,151484.0
6495,A_23_P408108,mitochondrial transcription termination factor,MTERF1,MTERF,"Homo sapiens mitochondrial transcription termination factor (MTERF), mRNA [NM_006980]",NM_006980,7978.0
6543,A_24_P160225,chromosome X open reading frame 36,DIPK2B,CXorf36,"Homo sapiens chromosome X open reading frame 36 (CXorf36), transcript variant 2, mRNA [NM_024689]",NM_024689,79742.0
6546,A_24_P416289,KIAA0195,TMEM94,KIAA0195,"Homo sapiens KIAA0195 (KIAA0195), mRNA [NM_014738]",NM_014738,9772.0
6561,A_23_P1043,chromosome 1 open reading frame 106,INAVA,C1orf106,"Homo sapiens chromosome 1 open reading frame 106 (C1orf106), transcript variant 1, mRNA [NM_018265]",NM_018265,55765.0
6569,A_33_P3375185,Tctex1 domain containing 4,DYNLT4,TCTEX1D4,"Homo sapiens Tctex1 domain containing 4 (TCTEX1D4), mRNA [NM_001013632]",NM_001013632,343521.0
12688,A_33_P3404779,Tctex1 domain containing 4,DYNLT4,TCTEX1D4,"Homo sapiens Tctex1 domain containing 4 (TCTEX1D4), mRNA [NM_001013632]",NM_001013632,343521.0
6604,A_24_P181295,chromosome 14 open reading frame 37,ARMH4,C14orf37,"Homo sapiens chromosome 14 open reading frame 37 (C14orf37), mRNA [NM_001001872]",NM_001001872,145407.0
30536,A_33_P3288839,chromosome 14 open reading frame 37,ARMH4,C14orf37,"Homo sapiens chromosome 14 open reading frame 37 (C14orf37), mRNA [NM_001001872]",NM_001001872,145407.0
6617,A_23_P138125,Fas apoptotic inhibitory molecule 3,FCMR,FAIM3,"Homo sapiens Fas apoptotic inhibitory molecule 3 (FAIM3), transcript variant 1, mRNA [NM_005449]",NM_005449,9214.0
6637,A_33_P3334923,long intergenic non-protein coding RNA 936,ATP2B1-AS1,LINC00936,"Homo sapiens long intergenic non-protein coding RNA 936 (LINC00936), long non-coding RNA [NR_028138]",NR_028138,338758.0
6644,A_24_P85200,ELM2 and Myb/SANT-like domain containing 1,MIDEAS,ELMSAN1,"Homo sapiens ELM2 and Myb/SANT-like domain containing 1 (ELMSAN1), transcript variant 1, mRNA [NM_194278]",NM_194278,91748.0
6683,A_24_P781757,uncharacterized LOC148413,MRPL20-AS1,LOC148413,"Homo sapiens uncharacterized LOC148413 (LOC148413), long non-coding RNA [NR_015434]",NR_015434,148413.0
6718,A_33_P3309034,septin 7 pseudogene 9,SEPTIN7P9,SEPT7P9,"Homo sapiens septin 7 pseudogene 9 (SEPT7P9), non-coding RNA [NR_027269]",NR_027269,285961.0
6731,A_32_P85591,"H2B histone family, member X, pseudogene",H2BW4P,H2BFXP,"Homo sapiens H2B histone family, member X, pseudogene (H2BFXP), non-coding RNA [NR_003238]",NR_003238,767811.0
25907,A_33_P3402551,"H2B histone family, member X, pseudogene",H2BW4P,H2BFXP,"Homo sapiens H2B histone family, member X, pseudogene (H2BFXP), non-coding RNA [NR_003238]",NR_003238,767811.0
6735,A_33_P3854953,uncharacterized LOC440117,LINC02372,LOC440117,"Homo sapiens uncharacterized LOC440117 (LOC440117), long non-coding RNA [NR_033970]",NR_033970,440117.0
6739,A_33_P3318966,methyltransferase like 20,ETFBKMT,METTL20,"Homo sapiens methyltransferase like 20 (METTL20), transcript variant 1, mRNA [NM_173802]",NM_173802,254013.0
6765,A_23_P254181,uncharacterized LOC79015,LINC01260,LOC79015,"Homo sapiens uncharacterized LOC79015 (LOC79015), long non-coding RNA [NR_034104]",NR_034104,
6793,A_32_P61857,KIAA1468,RELCH,KIAA1468,"Homo sapiens KIAA1468 (KIAA1468), mRNA [NM_020854]",NM_020854,57614.0
6798,A_33_P3709150,"T, brachyury homolog (mouse)",TBXT,T,"Homo sapiens T, brachyury homolog (mouse) (T), transcript variant 1, mRNA [NM_003181]",NM_003181,6862.0
6802,A_23_P327777,"GATS, stromal antigen 3 opposite strand",CASTOR3,GATS,"Homo sapiens GATS, stromal antigen 3 opposite strand (GATS), transcript variant 1, mRNA [NM_178831]",NM_178831,352954.0
26666,A_24_P281580,"GATS, stromal antigen 3 opposite strand",CASTOR3,GATS,"Homo sapiens GATS, stromal antigen 3 opposite strand (GATS), transcript variant 1, mRNA [NM_178831]",NM_178831,352954.0
6871,A_23_P333228,"membrane-associated ring finger (C3HC4) 4, E3 ubiquitin protein ligase",MARCHF4,2015-03-04 00:00:00,"Homo sapiens membrane-associated ring finger (C3HC4) 4, E3 ubiquitin protein ligase (MARCH4), mRNA [NM_020814]",NM_020814,57574.0
6879,A_23_P502312,CD97 molecule,ADGRE5,CD97,"Homo sapiens CD97 molecule (CD97), transcript variant 1, mRNA [NM_078481]",NM_078481,976.0
6917,A_33_P3357999,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A4",TAFA4,FAM19A4,"Homo sapiens family with sequence similarity 19 (chemokine (C-C motif)-like), member A4 (FAM19A4), transcript variant 1, mRNA [NM_182522]",NM_182522,151647.0
29164,A_32_P71571,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A4",TAFA4,FAM19A4,"Homo sapiens family with sequence similarity 19 (chemokine (C-C motif)-like), member A4 (FAM19A4), transcript variant 1, mRNA [NM_182522]",NM_182522,151647.0
6945,A_33_P3297092,"H2B histone family, member W, testis-specific",H2BW1,H2BFWT,"Homo sapiens H2B histone family, member W, testis-specific (H2BFWT), mRNA [NM_001002916]",NM_001002916,158983.0
6968,A_33_P3232498,chromosome 2 open reading frame 71,PCARE,C2orf71,"Homo sapiens chromosome 2 open reading frame 71 (C2orf71), mRNA [NM_001029883]",NM_001029883,388939.0
7013,A_32_P22501,EIF3J antisense RNA 1 (head to head),EIF3J-DT,EIF3J-AS1,"Homo sapiens EIF3J antisense RNA 1 (head to head) (EIF3J-AS1), transcript variant 1, long non-coding RNA [NR_034170]",NR_034170,645212.0
7073,A_24_P818010,uncharacterized LOC729737,LINC01001,LOC729737,"Homo sapiens uncharacterized LOC729737 (LOC729737), long non-coding RNA [NR_039983]",NR_028326,729737.0
7086,A_33_P3424067,suppressor of variegation 4-20 homolog 1 (Drosophila),KMT5B,SUV420H1,"Homo sapiens suppressor of variegation 4-20 homolog 1 (Drosophila) (SUV420H1), transcript variant 1, mRNA [NM_017635]",NM_017635,51111.0
7091,A_23_P141706,transcription elongation factor B polypeptide 3B (elongin A2),ELOA2,TCEB3B,"Homo sapiens transcription elongation factor B polypeptide 3B (elongin A2) (TCEB3B), mRNA [NM_016427]",NM_016427,51224.0
7099,A_33_P3410935,chromosome 17 open reading frame 89,NDUFAF8,C17orf89,"Homo sapiens chromosome 17 open reading frame 89 (C17orf89), mRNA [NM_001086521]",NM_001086521,284184.0
14510,A_24_P653603,chromosome 17 open reading frame 89,NDUFAF8,C17orf89,"Homo sapiens chromosome 17 open reading frame 89 (C17orf89), mRNA [NM_001086521]",NM_001086521,284184.0
7101,A_33_P3392787,coiled-coil domain containing 147,CFAP58,CCDC147,"Homo sapiens coiled-coil domain containing 147 (CCDC147), mRNA [NM_001008723]",NM_001008723,159686.0
22604,A_33_P3257297,coiled-coil domain containing 147,CFAP58,CCDC147,"Homo sapiens coiled-coil domain containing 147 (CCDC147), mRNA [NM_001008723]",NM_001008723,159686.0
7115,A_23_P145711,chromosome 7 open reading frame 10,SUGCT,C7orf10,"Homo sapiens chromosome 7 open reading frame 10 (C7orf10), transcript variant 4, mRNA [NM_024728]",NM_024728,
7163,A_33_P3213665,uncharacterized LOC728084,LINC02458,LOC728084,"Homo sapiens uncharacterized LOC728084 (LOC728084), long non-coding RNA [NR_038385]",NR_038385,728084.0
7183,A_23_P254472,chromosome 6 open reading frame 211,ARMT1,C6orf211,"Homo sapiens chromosome 6 open reading frame 211 (C6orf211), transcript variant 1, mRNA [NM_024573]",NM_024573,79624.0
23109,A_33_P3294836,chromosome 6 open reading frame 211,ARMT1,C6orf211,"Homo sapiens chromosome 6 open reading frame 211 (C6orf211), transcript variant 1, mRNA [NM_024573]",NM_024573,79624.0
7192,A_32_P203404,"family with sequence similarity 69, member C",DIPK1C,FAM69C,"Homo sapiens family with sequence similarity 69, member C (FAM69C), mRNA [NM_001044369]",NM_001044369,125704.0
7267,A_23_P71864,"family with sequence similarity 73, member B",MIGA2,FAM73B,"Homo sapiens family with sequence similarity 73, member B (FAM73B), mRNA [NM_032809]",NM_032809,84895.0
7281,A_33_P3303577,transmembrane protein 110,STIMATE,TMEM110,"Homo sapiens transmembrane protein 110 (TMEM110), mRNA [NM_198563]",NM_198563,375346.0
7302,A_23_P65041,Rac GTPase activating protein 1 pseudogene,RACGAP1P1,RACGAP1P,"Homo sapiens Rac GTPase activating protein 1 pseudogene (RACGAP1P), non-coding RNA [NR_026583]",NR_026583,83956.0
7308,A_32_P43349,uncharacterized LOC400456,LINC01197,LOC400456,"Homo sapiens uncharacterized LOC400456 (LOC400456), long non-coding RNA [NR_034095]",NR_034095,
7320,A_23_P420256,chromosome 2 open reading frame 43,LDAH,C2orf43,"Homo sapiens chromosome 2 open reading frame 43 (C2orf43), transcript variant 1, mRNA [NM_021925]",NM_021925,60526.0
7333,A_23_P133279,"family with sequence similarity 173, member B",ATPSCKMT,FAM173B,"Homo sapiens family with sequence similarity 173, member B (FAM173B), transcript variant 1, mRNA [NM_199133]",NM_199133,134145.0
7351,A_23_P54891,chromosome 16 open reading frame 58,RUSF1,C16orf58,"Homo sapiens chromosome 16 open reading frame 58 (C16orf58), mRNA [NM_022744]",NM_022744,64755.0
7366,A_24_P185158,"family with sequence similarity 134, member C",RETREG3,FAM134C,"Homo sapiens family with sequence similarity 134, member C (FAM134C), transcript variant 1, mRNA [NM_178126]",NM_178126,162427.0
7369,A_33_P3318534,acid phosphatase-like 2,PXYLP1,ACPL2,"Homo sapiens acid phosphatase-like 2 (ACPL2), transcript variant 1, mRNA [NM_152282]",NM_152282,
29982,A_23_P57760,acid phosphatase-like 2,PXYLP1,ACPL2,"Homo sapiens acid phosphatase-like 2 (ACPL2), transcript variant 1, mRNA [NM_152282]",NM_152282,
7404,A_33_P3249936,chromosome 3 open reading frame 67,CFAP20DC,C3orf67,"Homo sapiens chromosome 3 open reading frame 67 (C3orf67), mRNA [NM_198463]",NM_198463,200844.0
11248,A_33_P3362397,uncharacterized LOC729218,LINC01000,LOC729218,"Homo sapiens uncharacterized LOC729218 (LOC729218), non-coding RNA [NR_103825]",NR_024368,729218.0
7432,A_32_P87013,interleukin 8,CXCL8,IL8,"Homo sapiens interleukin 8 (IL8), mRNA [NM_000584]",NM_000584,
7434,A_23_P301247,"histone cluster 2, H2ac",H2AC20,HIST2H2AC,"Homo sapiens histone cluster 2, H2ac (HIST2H2AC), mRNA [NM_003517]",NM_003517,8338.0
7448,A_32_P8529,long intergenic non-protein coding RNA 338,SNHG20,LINC00338,"Homo sapiens long intergenic non-protein coding RNA 338 (LINC00338), long non-coding RNA [NR_027058]",NR_027058,
7452,A_33_P3331726,long intergenic non-protein coding RNA 657,NORAD,LINC00657,"Homo sapiens long intergenic non-protein coding RNA 657 (LINC00657), long non-coding RNA [NR_027451]",NR_027451,647979.0
17075,A_33_P3297003,long intergenic non-protein coding RNA 657,NORAD,LINC00657,"Homo sapiens long intergenic non-protein coding RNA 657 (LINC00657), long non-coding RNA [NR_027451]",NR_027451,647979.0
7457,A_33_P3219434,mitochondrial amidoxime reducing component 2,MTARC2,2015-03-02 00:00:00,"Homo sapiens mitochondrial amidoxime reducing component 2 (MARC2), mRNA [NM_017898]",NM_017898,54996.0
8308,A_23_P200685,mitochondrial amidoxime reducing component 2,MTARC2,2015-03-02 00:00:00,"Homo sapiens mitochondrial amidoxime reducing component 2 (MARC2), mRNA [NM_017898]",NM_017898,54996.0
7467,A_23_P336612,chromosome 15 open reading frame 26,CFAP161,C15orf26,"Homo sapiens chromosome 15 open reading frame 26 (C15orf26), mRNA [NM_173528]",NM_173528,161502.0
7488,A_33_P3284939,transmembrane protein 189,PEDS1,TMEM189,"Homo sapiens transmembrane protein 189 (TMEM189), transcript variant 1, mRNA [NM_199129]",NM_199129,387521.0
9640,A_33_P3259801,transmembrane protein 189,PEDS1,TMEM189,"Homo sapiens transmembrane protein 189 (TMEM189), transcript variant 1, mRNA [NM_199129]",NM_199129,387521.0
7491,A_33_P3549091,RAD52 motif 1 pseudogene,RDM1P5,LOC100131347,"Homo sapiens RAD52 motif 1 pseudogene (LOC100131347), non-coding RNA [NR_036551]",NR_036551,100131347.0
7498,A_33_P3239455,GTF2I repeat domain containing 2B,GTF2IRD2,GTF2IRD2B,"Homo sapiens GTF2I repeat domain containing 2B (GTF2IRD2B), mRNA [NM_001003795]",NM_173537,389524.0
19349,A_33_P3317543,GTF2I repeat domain containing 2B,GTF2IRD2,GTF2IRD2B,"Homo sapiens GTF2I repeat domain containing 2B (GTF2IRD2B), mRNA [NM_001003795]",NM_173537,389524.0
7558,A_32_P86905,keratinocyte growth factor-like protein 2,FGF7P3,KGFLP2,"Homo sapiens keratinocyte growth factor-like protein 2 (KGFLP2), non-coding RNA [NR_003670]",NR_003670,654466.0
7576,A_33_P3841819,SETD5 antisense RNA 1,THUMPD3-AS1,SETD5-AS1,"Homo sapiens SETD5 antisense RNA 1 (SETD5-AS1), long non-coding RNA [NR_027007]",NR_027007,
7641,A_23_P116743,uncharacterized LOC338799,LINC01089,LOC338799,"Homo sapiens uncharacterized LOC338799 (LOC338799), long non-coding RNA [NR_002809]",NR_002809,
7691,A_33_P3311621,CSTF3 antisense RNA 1 (head to head),CSTF3-DT,CSTF3-AS1,"Homo sapiens CSTF3 antisense RNA 1 (head to head) (CSTF3-AS1), long non-coding RNA [NR_034027]",NR_034027,338739.0
7722,A_33_P3375636,"family with sequence similarity 196, member B",INSYN2B,FAM196B,"Homo sapiens family with sequence similarity 196, member B (FAM196B), mRNA [NM_001129891]",NM_001129891,100131897.0
7733,A_33_P3355618,uncharacterized LOC63930,LINC01749,LOC63930,"Homo sapiens uncharacterized LOC63930 (LOC63930), long non-coding RNA [NR_033370]",NR_033370,63930.0
7746,A_33_P3404032,"histone cluster 3, H2a",H2AW,HIST3H2A,"Homo sapiens histone cluster 3, H2a (HIST3H2A), mRNA [NM_033445]",NM_033445,92815.0
7748,A_23_P11744,WAS protein family homolog 1,WASHC1,WASH1,"Homo sapiens WAS protein family homolog 1 (WASH1), mRNA [NM_182905]",NM_182905,100287171.0
11662,A_33_P3365932,WAS protein family homolog 1,WASHC1,WASH1,"Homo sapiens WAS protein family homolog 1 (WASH1), mRNA [NM_182905]",NM_182905,100287171.0
7760,A_23_P152055,elongation factor Tu GTP binding domain containing 1,EFL1,EFTUD1,"Homo sapiens elongation factor Tu GTP binding domain containing 1 (EFTUD1), transcript variant 1, mRNA [NM_024580]",NM_024580,79631.0
20913,A_24_P754817,elongation factor Tu GTP binding domain containing 1,EFL1,EFTUD1,"Homo sapiens elongation factor Tu GTP binding domain containing 1 (EFTUD1), transcript variant 1, mRNA [NM_024580]",NM_024580,79631.0
7766,A_32_P83270,uncharacterized LOC727982,LINC01249,LOC727982,"Homo sapiens uncharacterized LOC727982 (LOC727982), long non-coding RNA [NR_034134]",NR_034134,
7779,A_33_P3460043,chromosome 8 open reading frame 56,BAALC-AS2,C8orf56,"Homo sapiens chromosome 8 open reading frame 56 (C8orf56), long non-coding RNA [NR_027071]",NR_027071,
7876,A_23_P376870,chromosome 14 open reading frame 79,CLBA1,C14orf79,"Homo sapiens chromosome 14 open reading frame 79 (C14orf79), mRNA [NM_174891]",NM_174891,122616.0
7882,A_33_P3252475,chromosome 14 open reading frame 64,LINC01550,C14orf64,"Homo sapiens chromosome 14 open reading frame 64 (C14orf64), long non-coding RNA [NR_015430]",NR_015430,388011.0
7896,A_24_P942694,chromosome 10 open reading frame 118,CCDC186,C10orf118,"Homo sapiens chromosome 10 open reading frame 118 (C10orf118), mRNA [NM_018017]",NM_018017,55088.0
7915,A_33_P3302632,"histone cluster 1, H2be",H2BC6,HIST1H2BE,"Homo sapiens histone cluster 1, H2be (HIST1H2BE), mRNA [NM_003523]",NM_003523,8344.0
7966,A_33_P3254380,"solute carrier family 9, subfamily A (NHE7, cation proton antiporter 7), member 7",SLC9A7P1,SLC9A7,"Homo sapiens solute carrier family 9, subfamily A (NHE7, cation proton antiporter 7), member 7 (SLC9A7), transcript variant 1, mRNA [NM_001257291]",NR_033801,84679.0
7968,A_32_P81676,long intergenic non-protein coding RNA 599,MIR124-1HG,LINC00599,"Homo sapiens long intergenic non-protein coding RNA 599 (LINC00599), long non-coding RNA [NR_024281]",NR_024281,157627.0
7978,A_23_P308058,tumor suppressor candidate 5,TRARG1,TUSC5,"Homo sapiens tumor suppressor candidate 5 (TUSC5), mRNA [NM_172367]",NM_172367,286753.0
7986,A_33_P3350703,ERO1-like beta (S. cerevisiae),ERO1B,ERO1LB,"Homo sapiens ERO1-like beta (S. cerevisiae) (ERO1LB), mRNA [NM_019891]",NM_019891,56605.0
7993,A_33_P3248654,seryl-tRNA synthetase,SARS1,SARS,"Homo sapiens seryl-tRNA synthetase (SARS), transcript variant 1, mRNA [NM_006513]",NM_006513,6301.0
8006,A_23_P212595,Vpr (HIV-1) binding protein,DCAF1,VPRBP,"Homo sapiens Vpr (HIV-1) binding protein (VPRBP), transcript variant 1, mRNA [NM_014703]",NM_014703,9730.0
31925,A_24_P26177,Vpr (HIV-1) binding protein,DCAF1,VPRBP,"Homo sapiens Vpr (HIV-1) binding protein (VPRBP), transcript variant 1, mRNA [NM_014703]",NM_014703,9730.0
8111,A_33_P3379391,"H2A histone family, member J",H2AJ,H2AFJ,"Homo sapiens H2A histone family, member J (H2AFJ), transcript variant 1, mRNA [NM_177925]",NM_177925,55766.0
12571,A_23_P204277,"H2A histone family, member J",H2AJ,H2AFJ,"Homo sapiens H2A histone family, member J (H2AFJ), transcript variant 1, mRNA [NM_177925]",NM_177925,55766.0
8245,A_32_P358115,uncharacterized LOC284648,LINC01686,LOC284648,"Homo sapiens uncharacterized LOC284648 (LOC284648), long non-coding RNA [NR_036490]",NR_036490,284648.0
8247,A_23_P47777,membrane-associated ring finger (C3HC4) 9,MARCHF9,2015-03-09 00:00:00,"Homo sapiens membrane-associated ring finger (C3HC4) 9 (MARCH9), mRNA [NM_138396]",NM_138396,92979.0
8335,A_24_P212860,chromosome 9 open reading frame 156,TRMO,C9orf156,"Homo sapiens chromosome 9 open reading frame 156 (C9orf156), mRNA [NM_016481]",NM_016481,51531.0
29239,A_23_P257726,chromosome 9 open reading frame 156,TRMO,C9orf156,"Homo sapiens chromosome 9 open reading frame 156 (C9orf156), mRNA [NM_016481]",NM_016481,51531.0
8345,A_23_P215832,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2",ATP5MF,ATP5J2,"Homo sapiens ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2 (ATP5J2), transcript variant 1, mRNA [NM_004889]",NM_004889,9551.0
8379,A_33_P3229067,"histone cluster 1, H2bn",H2BC15,HIST1H2BN,"Homo sapiens histone cluster 1, H2bn (HIST1H2BN), mRNA [NM_003520]",NM_003520,8341.0
8390,A_23_P157736,phosphatidic acid phosphatase type 2 domain containing 3,PLPP7,PPAPDC3,"Homo sapiens phosphatidic acid phosphatase type 2 domain containing 3 (PPAPDC3), mRNA [NM_032728]",NM_032728,84814.0
8393,A_33_P3464749,uncharacterized LOC253044,LINGO1-AS1,LOC253044,"Homo sapiens uncharacterized LOC253044 (LOC253044), long non-coding RNA [NR_045123]",NR_045123,253044.0
8399,A_33_P3813684,uncharacterized LOC440594,LINC01761,FLJ31662,"Homo sapiens uncharacterized LOC440594 (FLJ31662), long non-coding RNA [NR_033966]",NR_033966,440594.0
8414,A_33_P3692766,uncharacterized LOC401103,LINC01994,FLJ46066,"Homo sapiens uncharacterized LOC401103 (FLJ46066), long non-coding RNA [NR_040105]",NR_040105,401103.0
8480,A_24_P143076,"family with sequence similarity 109, member A",PHETA1,FAM109A,"Homo sapiens family with sequence similarity 109, member A (FAM109A), transcript variant 2, mRNA [NM_144671]",NM_144671,144717.0
8512,A_23_P165061,amino-terminal enhancer of split,TLE5,AES,"Homo sapiens amino-terminal enhancer of split (AES), transcript variant 1, mRNA [NM_198969]",NM_198969,166.0
8517,A_23_P140760,G protein-coupled receptor 97,ADGRG3,GPR97,"Homo sapiens G protein-coupled receptor 97 (GPR97), mRNA [NM_170776]",NM_170776,222487.0
24308,A_33_P3305102,G protein-coupled receptor 97,ADGRG3,GPR97,"Homo sapiens G protein-coupled receptor 97 (GPR97), mRNA [NM_170776]",NM_170776,222487.0
8591,A_33_P3399768,uncharacterized LOC100129269,LINC01160,LOC100129269,"Homo sapiens uncharacterized LOC100129269 (LOC100129269), long non-coding RNA [NR_034126]",NR_034126,
8653,A_33_P3239267,"family with sequence similarity 212, member A",INKA1,FAM212A,"Homo sapiens family with sequence similarity 212, member A (FAM212A), mRNA [NM_203370]",NM_203370,389119.0
